company,final_cluster
2D 25M,0
4 CREATIVE,0
4-PRINT,4
A&M ELLIS,0
ABC,0
ABLE CANOPIES,4
ABSOLUTE CONTROL,0
ACG,0
ACKNOWLEDGE DESIGNS,0
ACOPIA,0
ACORN PRESS,0
ACTICARE UK,0
ACTION PRESS,4
AD PRINT SERVICES,0
ADGLOW,0
ADOVATION,0
ADVAGRAFIX,0
ADVANCED INSULATIONS,0
AG PRODUCTS,6
ALDINE,4
ALL PAY CARDS,0
ALLAN HOLDING FINEPRINT,0
ALLSIGNS,0
ALTAVIA,4
AMBA DEFENCE,0
AMBRO,0
AMBRO PLASTICS,0
AMBROSE PRESS,0
AMY FINNIMORE,0
AMY FINNIMORE SLEEVE &,0
ANAHITA,0
ANDREW HARVEY,0
ANDREW HUNTS,0
ANDY HALL,0
ANDY LINKE,0
ANDY LINKE 50 +,0
ANDY LINKE 75 +,0
ANECO,0
ANV SEWING,0
APL,0
APL PACKAGING,0
APT,4
AQUATINT,0
ARRIVAL,0
ARTHUR GODDARD,0
ARTISAN,4
ARTISAN PRINT,0
ARTISAN PRINT SOLUTIONS,5
ASHGROVE TRADING,0
ASHMAN,0
ASHMAN & CLOUGH,0
ASHWYK,7
ASTLES CONTROLS,0
ASTRA LIGHTING,0
ATMOSSPHERE,0
AVENUE ONE,0
AVENUE ONE GRAPHICS,2
AVS,0
B A S,0
B LITHO,6
BAGNBOX COLLAPSIBLE,0
BAHOMA,0
BAMBOO CREATIONS,0
BANBURY LABELS,0
BANBURY LITH,0
BANBURY LITH0,0
BANBURY LITHO,4
BARBARA,0
BARBARA MORAN,0
BARNWELL PRINT,0
BASE &,0
BCQ,4
BD NETWORKS,2
BEAMS INTERNATIONAL,0
BEH ELECTRICAL,0
BELL FLOW,4
BELL FLOW SYSTEMS,0
BELOW THE LINE,0
BEN HAYDEN,0
BEN SCOTTWOOD,0
BERRY YUMMY,0
BETTA TECH,6
BETTER INDOORS,0
BIG DESIGN & PRINT,0
BIG GROUP RETAIL,0
BILL-PRINT MARSHALL,0
BIN HANGERS,0
BINDERS PLUS,4
BINDING SCIENCES,0
BINERS PLUS,0
BKT,0
BLACKFIEF,0
BLACKMORE,0
BLACKMORES,0
BLANK,0
BLEEP RECORDS,0
BLINDSIDE CARDS,0
BLOCK,4
BLOCK9,2
BLUE FLAMINGO,0
BLUE LEAF,0
BLUE MOOSE,0
BLUE SKY,0
BLUE STAR,0
BLUNT PRINT,0
BOLT TECH,0
BOX AND SEAL,0
BOXES & PACKAGING,0
BPD,0
BPDL,0
BRACKLEY LABELS,4
BRACKNELL PRINTROOM,0
BRADY,4
BRAND ACE,0
BRANDLINE PRODUCTS,0
BRAY LEINO,4
BRDC,0
BRIGHTGREENPRINT,0
BRITISH MOTOR HERITAGE,0
BROADGATE,6
BROADGATE CREATIVE,0
BROADGATE DESIGN,0
BROADSWORD,0
BROCKS COMPASS,4
BUBBLE,4
BUCKS ART WEEK,7
BUCKS ART WEEKS,0
BUCKS OPEN STUDIOS,4
BUX & BEWL,0
BUYSEND.COM,0
BUZZ,0
BUZZ DESIGN,0
CAMBERTRONICS,6
CANDY,0
CANDY & CO,0
CARBON COLOUR,0
CARDMASTERS,0
CARRIART,0
CCM MARKETING,0
CDL,4
CDP,0
CDT,4
CELLPAK,0
CELSUR,4
CENTRAL BANK OF IRAQ,0
CENTRAL DESIGN,0
CENTRAL DESIGNS,6
CH & HH CONSULTANCY,2
CHALLENGE,0
CHALLENGE EUROPE,6
CHAMELEON,0
CHAMELEON CREATIVE,0
CHARLESWORTH,0
CHEQUERS,0
CHILTERN,4
CHILTERN PRINTERS,0
CHRIS MCINTOSH ENGINEERING SERVICES,6
CHRISTIE-JLR,0
CHROMA,0
CHROME-DOME DESIGN,0
CHROME-DOME MARKETING,0
CITIZENS ADVICE,0
CITY IMAGES,0
CKN,0
CLARKEPRINT,6
CLAROPRINT,0
CLAYTONS COCKTAILS,0
CLENAWARE SYSTEMS,0
CLERE,6
CLERE DESIGN,6
CLINTPLAN,4
CMS,3
CMUK,0
CODEGATE,0
COLOPHON,0
COLOUR CREW,0
COLOUR PRESS,7
COLOURBURST,4
COLOURPOINT,4
COLOURSTREAM,0
COLOURZONE,0
COMMERCIAL,4
COMMERCIAL BY NATURE,0
COMPLETE,0
COMPLETE OFFICE SUPPLIES,0
COMPLETE PRESENTATION,0
CONDOR WINES,0
CONNECT,0
CONSERTATREE,0
CONSERVATREE,0
CONTACTA,0
COOPER VISION,0
CORNFLOWER,0
CORPORATE BUSINESS GIFTS,0
COUTCOM,0
COUTURE,0
COUTURE - ULSTER CARPETS SAMPLE,0
COUTURE - ULSTER PRESENTATION,0
COUTURE PRODUCT SAMPLING,0
COUTURE SAMPLING,0
CPF FIELD,0
CPG,0
CPJ FIELD,0
CREATIONS BY CHAMELEON,0
CREATIVE ASSOCIATES,0
CROWN GRAPHIC SOLUTIONS,0
CRYSTAL PRINT,0
CUBIQ,0
CURTIS PACKAGING,0
D2 PRINTING,4
DAEL,0
DAF,4
DALE STUDIOS,0
DAR LIGHTING,0
DAXICON LTD,0
DAYFOLD,0
DBG HOLDINGS,0
DBM COVENTRY,0
DCS,0
DEE - LYNX,0
DENMORE PRESS,3
DESIGNEASE,0
DEVELOPMENT CO,0
DEXTERITY,0
DIGI PRESS,0
DIGITAL FUSION,0
DIPTI PATEL,0
DLM CREATIVE,0
DM LINK,0
DOMUS GROUP,0
DOVETON,4
