company,recency_days,first_order_days_ago,tenure_days,frequency,monetary_total,monetary_mean,monetary_median,monetary_std,monetary_max,monetary_min,avg_days_between_orders,min_days_between_orders,max_days_between_orders,orders_per_year,avg_quantity,median_quantity,max_quantity,min_quantity,std_quantity,avg_margin,median_margin,ptype_binder_pct,ptype_box_pct,ptype_slip_case_pct,ptype_folder_pct,ptype_presentation_pack_pct,ptype_menu_cover_pct,ptype_ring_binder_pct,ptype_lever_arch_pct,ptype_portfolio_pct,product_type_diversity,has_product_type_pct,avg_num_operations,max_num_operations,op_cutting_pct,op_creasing_pct,op_assembly_pct,op_wrapping_pct,op_liner_gluing_pct,op_laminating_pct,op_foil_blocking_pct,op_screen_printing_pct,op_drilling_pct,op_embossing_pct,op_debossing_pct,op_uv_varnishing_pct,op_die_cutting_pct,op_hand_finishing_pct,op_packing_pct,op_collating_pct,unique_operations_used,avg_cost_items,peak_month,months_active,revenue_trend_slope,revenue_trend_pct,recent_12m_revenue,historical_revenue,recent_share_pct,era_2017_box_pct,era_2020_pob_master_pct,era_2024_quotation_pct,ch_company_name,company_number,company_type,company_status,industry_sector,company_age_years,region,officer_count,active_officer_count,director_count,secretary_count,filing_count,recent_filing_days,annual_accounts_count,has_charges,charge_count,psc_count,has_website,website_domain,has_https,http_status,domain_variant,orders_per_company_year,value_quintile,frequency_tier,is_active_12m,is_active_6m,is_churned,ch_matched,recency_days_missing,first_order_days_ago_missing,avg_quantity_missing,avg_margin_missing,revenue_trend_slope_missing,revenue_trend_pct_missing,company_age_years_missing,officer_count_missing,active_officer_count_missing,filing_count_missing,recent_filing_days_missing,annual_accounts_count_missing,charge_count_missing,psc_count_missing,median_quantity_missing,max_quantity_missing,min_quantity_missing,std_quantity_missing,median_margin_missing,peak_month_missing,director_count_missing,secretary_count_missing,http_status_missing
2D 25M,732.0,732.0,0,1,488.9377777777778,488.9377777777778,488.9377777777778,0.0,488.9377777777778,488.9377777777778,0.0,0.0,0.0,1.0,100.0,100.0,100.0,100.0,0.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,8.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,37.0,1.0,1,0.0,0.0,0.0,488.9377777777778,0.0,0.0,100.0,0.0,25M LIMITED,16806627,ltd,active,Wholesale & Retail,0.3,Ilford,1.0,1.0,1.0,0.0,1.0,103.0,0.0,False,0.0,1.0,False,Unknown,False,301.0,Unknown,3.3333333333333335,1,one_time,False,False,True,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4 CREATIVE,332.0,332.0,0,2,4206.5602777777785,2103.2801388888893,2103.2801388888893,511.172795420614,2464.733888888889,1741.8263888888891,0.0,0.0,0.0,2.0,150.0,150.0,200.0,100.0,70.71067811865476,10.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,7.0,7,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,23.0,2.0,1,0.0,0.0,4206.5602777777785,0.0,100.0,0.0,100.0,0.0,4 CREATIVE LTD,SC532443,ltd,dissolved,Manufacturing,9.8,Ayr,5.0,1.0,1.0,0.0,15.0,2624.0,1.0,False,0.0,1.0,True,4creative.co.uk,True,200.0,co.uk,0.2040816326530612,4,occasional,True,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-PRINT,122.0,1359.0,1237,50,92947.49058609424,1858.949811721885,1123.7261609195402,2048.564069786317,8863.439632088435,171.9325,25.244897959183675,0.0,147.0,14.763540824575584,1277.96,350.0,8500.0,5.0,2218.3829646747613,21.229591836734695,20.0,25.0,53.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,56.00000000000001,6.1,9,100.0,48.0,100.0,38.0,42.0,56.00000000000001,50.0,92.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,22.86,2.0,11,5065.70565155425,21.80029011912721,27230.398447629235,65717.09213846501,29.29653966548629,0.0,100.0,0.0,4 PRINT LIMITED,01511940,ltd,active,Manufacturing,45.5,Surrey,7.0,2.0,1.0,1.0,106.0,320.0,38.0,True,2.0,1.0,True,4print.co.uk,False,200.0,co.uk,1.098901098901099,5,power_user,True,True,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A&M ELLIS,835.0,835.0,0,1,2640.344,2640.344,2640.344,0.0,2640.344,2640.344,0.0,0.0,0.0,1.0,6000.0,6000.0,6000.0,6000.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7.0,10.0,1,0.0,0.0,0.0,2640.344,0.0,0.0,100.0,0.0,A&M ACCOMMODATIONS LTD,16027284,ltd,active,Accommodation & Food,1.3,Newport,4.0,4.0,3.0,1.0,2.0,52.0,0.0,False,0.0,3.0,False,Unknown,False,301.0,Unknown,0.7692307692307692,3,one_time,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABC,430.0,1001.0,571,7,65388.244203296694,9341.1777433281,8809.312,6200.955847792153,21661.69547252747,3135.7833333333333,95.16666666666669,0.0,285.0,4.477670753064799,4314.285714285715,1000.0,16250.0,200.0,6067.310928637324,15.0,15.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.142857142857143,8,100.0,28.57142857142857,100.0,85.71428571428571,85.71428571428571,42.857142857142854,57.14285714285714,57.14285714285714,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,21.428571428571427,5.0,6,-41498.05353661343,-126.92817812202766,0.0,65388.244203296694,0.0,0.0,100.0,0.0,ABC LTD,13390812,ltd,active,International Organisations,4.7,Cambridge,1.0,1.0,1.0,0.0,11.0,23.0,4.0,False,0.0,1.0,True,abc.co.uk,False,200.0,co.uk,1.4893617021276595,5,regular,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABLE CANOPIES,652.0,2198.0,1546,5,7670.732828282828,1534.1465656565656,1472.6944444444443,424.5941246568216,2226.938888888889,1078.9722222222222,386.5,0.0,1546.0,1.18127425614489,900.0,500.0,2000.0,500.0,651.9202405202649,22.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.2,6,100.0,20.0,100.0,0.0,0.0,20.0,80.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20.4,1.0,2,-1151.8112373738345,-30.03132199121786,0.0,7670.732828282828,0.0,0.0,100.0,0.0,ABLE CANOPIES LIMITED,05391477,ltd,active,Construction,20.9,London,14.0,5.0,4.0,1.0,101.0,13.0,23.0,True,2.0,7.0,True,ablecanopies.co.uk,True,301.0,co.uk,0.2392344497607655,4,regular,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABSOLUTE CONTROL,2571.0,2571.0,0,1,184.798,184.798,184.798,0.0,184.798,184.798,0.0,0.0,0.0,1.0,477.1217532467532,309.0,600.0,150.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,1.0,1,0.0,0.0,0.0,184.798,0.0,100.0,0.0,0.0,ABSOLUTE CONTROL LIMITED,09215238,ltd,active,Professional Services,11.4,London,1.0,1.0,1.0,0.0,32.0,63.0,12.0,False,0.0,2.0,True,absolutecontrol.com,False,405.0,com,0.087719298245614,1,one_time,False,False,True,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
ACG,2298.0,2298.0,0,2,853.5416666666667,426.77083333333337,426.77083333333337,268.0677162817261,616.3233333333334,237.21833333333336,0.0,0.0,0.0,2.0,500.0,500.0,500.0,500.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,17.5,10.0,1,0.0,0.0,0.0,853.5416666666667,0.0,0.0,100.0,0.0,ACG LIMITED,01611876,private-limited-guarant-nsc,active,Other Services,44.0,Hampshire,71.0,9.0,8.0,1.0,233.0,4.0,20.0,False,0.0,0.0,True,acg.co.uk,True,200.0,co.uk,0.0454545454545454,2,occasional,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACKNOWLEDGE DESIGNS,1996.0,1996.0,0,1,165.38205,165.38205,165.38205,0.0,165.38205,165.38205,0.0,0.0,0.0,1.0,300.0,300.0,300.0,300.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.0,6,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24.0,8.0,1,0.0,0.0,0.0,165.38205,0.0,0.0,100.0,0.0,ACKNOWLEDGE DESIGNS LTD,08875770,ltd,active,Administrative Services,12.0,London,1.0,1.0,1.0,0.0,29.0,350.0,12.0,False,0.0,1.0,True,acknowledgedesigns.co.uk,True,301.0,co.uk,0.0833333333333333,1,one_time,False,False,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOPIA,499.0,499.0,0,1,451.80900900900906,451.80900900900906,451.80900900900906,0.0,451.80900900900906,451.80900900900906,0.0,0.0,0.0,1.0,2000.0,2000.0,2000.0,2000.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,6,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.0,9.0,1,0.0,0.0,0.0,451.80900900900906,0.0,0.0,100.0,0.0,ACOPIA LTD,09113327,ltd,active,International Organisations,11.6,West Sussex,4.0,3.0,3.0,0.0,32.0,118.0,12.0,False,0.0,1.0,True,acopia.co.uk,True,200.0,co.uk,0.0862068965517241,1,one_time,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
