company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,postcode,region,accounts_type,officer_count,active_officer_count,director_count,secretary_count,filing_count,recent_filing_days,annual_accounts_count,has_charges,charge_count,psc_count,has_website,has_https,prospect_score,priority_tier,ml_probability,score_industry,score_company_age,score_company_size,score_geography,score_web_presence,reason_industry,reason_company_age,reason_company_size,reason_geography,reason_web_presence
WGN Media,08912226,ltd,active,01210,Agriculture,2008-11-17,17.2,BD1 8JX,Bradford,small,7,4,4,1,54,386,17,False,0,1,True,True,95.0,Hot,,100.0,100.0,100.0,50.0,100.0,Agriculture: lift ratio 1.75x,Optimal age: 17.2 years (target: 7-29),Optimal officers: 7; Good filing history: 54,Region: Bradford,Has website with HTTPS
Royal Group,01598744,ltd,active,46180,Wholesale & Retail,2019-06-05,6.7,S1 7GE,Sheffield,small,4,1,1,0,26,304,6,False,0,3,True,True,93.87,Hot,,100.0,98.5,100.0,41.67,100.0,SIC 46180: high-value indicator,Young company: 6.7 years,Optimal officers: 4; Good filing history: 26,Region: Sheffield,Has website with HTTPS
Evans & Thompson Marketing,12442178,ltd,active,01410,Agriculture,1992-01-19,34.0,KY1 8UL,Fife,total-exemption-full,4,2,1,0,100,191,33,False,0,1,True,True,92.75,Hot,,100.0,95.0,95.0,50.0,100.0,Agriculture: lift ratio 1.75x,Established: 34.0 years,Optimal officers: 4; Extensive history: 100 filings,Region: Fife,Has website with HTTPS
Fast Communications,11969358,ltd,active,01500,Agriculture,2021-03-26,4.9,EC1A 1XM,London,total-exemption-full,5,2,1,0,11,141,3,False,0,2,True,False,89.01,Hot,,100.0,89.5,98.5,46.74,78.74,Agriculture: lift ratio 1.75x,Young company: 4.9 years,Optimal officers: 5; Limited history: 11 filings,Region: London,Has website
Prime Media,SC506967,ltd,active,68310,Real Estate,2018-08-16,7.5,CT1 2PP,Kent,total-exemption-small,2,1,1,0,29,226,7,False,0,3,True,True,88.63,Hot,,78.26,100.0,100.0,51.47,100.0,Real Estate: lift ratio 1.37x,Optimal age: 7.5 years (target: 7-29),Optimal officers: 2; Good filing history: 29,Region: Kent,Has website with HTTPS
Swift Trading,09333769,llp,active,22220,Manufacturing,2019-07-27,6.5,HP1 5VC,Buckinghamshire,full,9,4,4,1,19,267,6,False,0,3,True,True,88.58,Hot,,67.33,97.5,98.0,93.75,100.0,Manufacturing: lift ratio 1.18x,Young company: 6.5 years,Large org: 9 officers; Good filing history: 19,Region: Buckinghamshire (high-value area),Has website with HTTPS
Swift UK,04441570,ltd,active,68201,Real Estate,2015-06-24,10.6,TA1 2CL,Taunton,medium,6,1,1,0,45,288,10,False,0,4,True,True,88.48,Hot,,78.26,100.0,100.0,50.0,100.0,Real Estate: lift ratio 1.37x,Optimal age: 10.6 years (target: 7-29),Optimal officers: 6; Good filing history: 45,Region: Taunton,Has website with HTTPS
Pro Limited,05042786,ltd,active,68100,Real Estate,2019-03-25,6.9,SK1 4CE,Stockport,small,4,1,1,1,21,108,6,False,0,3,True,True,88.38,Hot,,78.26,99.5,100.0,50.0,100.0,Real Estate: lift ratio 1.37x,Young company: 6.9 years,Optimal officers: 4; Good filing history: 21,Region: Stockport,Has website with HTTPS
Golden Development,10616903,ltd,active,22290,Manufacturing,2019-01-14,7.1,LU1 1KN,East of England,small,4,2,1,0,24,74,7,False,0,3,True,True,88.33,Hot,,77.78,100.0,100.0,50.0,100.0,SIC 22290: high-value indicator,Optimal age: 7.1 years (target: 7-29),Optimal officers: 4; Good filing history: 24,Region: East of England,Has website with HTTPS
Davies & Evans Creative,NI100205,ltd,active,68100,Real Estate,1995-06-01,30.7,HU1 7DF,Hull,medium,6,3,2,0,89,381,29,False,0,1,True,True,88.14,Hot,,78.26,98.3,100.0,50.0,100.0,Real Estate: lift ratio 1.37x,Established: 30.7 years,Optimal officers: 6; Good filing history: 89,Region: Hull,Has website with HTTPS
