company,recency_days,first_order_days_ago,tenure_days,frequency,monetary_total,monetary_mean,monetary_median,monetary_std,monetary_max,monetary_min,avg_days_between_orders,std_days_between_orders,min_days_between_orders,max_days_between_orders,orders_per_year,avg_quantity,median_quantity,max_quantity,min_quantity,std_quantity,avg_unit_price,median_unit_price,max_unit_price,avg_margin,median_margin,ptype_binder_pct,ptype_box_pct,ptype_slip_case_pct,ptype_folder_pct,ptype_presentation_pack_pct,ptype_menu_cover_pct,ptype_ring_binder_pct,ptype_lever_arch_pct,ptype_portfolio_pct,product_type_diversity,has_product_type_pct,avg_num_operations,max_num_operations,op_cutting_pct,op_creasing_pct,op_assembly_pct,op_wrapping_pct,op_liner_gluing_pct,op_laminating_pct,op_foil_blocking_pct,op_screen_printing_pct,op_drilling_pct,op_embossing_pct,op_debossing_pct,op_uv_varnishing_pct,op_die_cutting_pct,op_hand_finishing_pct,op_packing_pct,op_collating_pct,unique_operations_used,avg_cost_items,peak_month,months_active,revenue_trend_slope,revenue_trend_pct,recent_12m_revenue,historical_revenue,recent_share_pct,era_2017_box_pct,era_2020_pob_master_pct,era_2024_quotation_pct,ch_company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,region,accounts_type,officer_count,active_officer_count,director_count,secretary_count,filing_count,recent_filing_days,annual_accounts_count,has_charges,charge_count,psc_count,has_website,website_domain,has_https,http_status,domain_variant,orders_per_company_year,value_quintile,frequency_tier,is_active_12m,is_active_6m,is_churned,ch_matched,recency_days_missing,first_order_days_ago_missing,avg_days_between_orders_missing,std_days_between_orders_missing,min_days_between_orders_missing,max_days_between_orders_missing,avg_quantity_missing,avg_unit_price_missing,avg_margin_missing,revenue_trend_slope_missing,revenue_trend_pct_missing,company_age_years_missing,officer_count_missing,active_officer_count_missing,filing_count_missing,recent_filing_days_missing,annual_accounts_count_missing,charge_count_missing,psc_count_missing,median_quantity_missing,max_quantity_missing,min_quantity_missing,std_quantity_missing,median_unit_price_missing,max_unit_price_missing,median_margin_missing,peak_month_missing,director_count_missing,secretary_count_missing,http_status_missing
Hall & White,332.0,332.0,0,2,4206.5602777777785,2103.2801388888893,2103.2801388888893,511.172795420614,2464.733888888889,1741.8263888888891,0.0,84.75996629996197,0.0,0.0,2.0,150.0,150.0,200.0,100.0,70.71067811865476,16.358063333333334,16.358063333333334,19.16009027777778,10.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,7.0,7,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,23.0,2.0,1,0.0,0.0,4206.5602777777785,0.0,100.0,0.0,100.0,0.0,Southern Design 076,SC532443,ltd,dissolved,14190,Manufacturing,2016-04-13,9.8,Ayr,Unknown,5.0,1.0,1.0,0.0,15.0,2624.0,1.0,False,0.0,1.0,True,4creative.co.uk,True,200.0,co.uk,0.2040816326530612,4,occasional,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stellar Graphics,122.0,1359.0,1237,50,92947.49058609424,1858.949811721885,1123.7261609195402,2048.564069786317,8863.439632088435,171.9325,25.244897959183675,36.37909805795361,0.0,147.0,14.763540824575584,1277.96,350.0,8500.0,5.0,2218.3829646747613,10.381128723353036,4.052838452380952,58.79186133333333,21.229591836734695,20.0,25.0,53.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,56.00000000000001,6.1,9,100.0,48.0,100.0,38.0,42.0,56.00000000000001,50.0,92.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,22.86,2.0,11,5065.70565155425,21.80029011912721,27230.398447629235,65717.09213846501,29.29653966548629,0.0,100.0,0.0,Pinnacle Services,01511940,ltd,active,18129,Manufacturing,1980-08-11,45.5,Surrey,total-exemption-full,7.0,2.0,1.0,1.0,106.0,320.0,38.0,True,2.0,1.0,True,4print.co.uk,False,200.0,co.uk,1.098901098901099,5,power_user,True,True,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHQ,1733.0,1733.0,0,1,581.0995833333333,581.0995833333333,581.0995833333333,0.0,581.0995833333333,581.0995833333333,43.25,84.75996629996197,0.0,170.0,1.0,100.0,100.0,100.0,100.0,0.0,4.9180347304778556,4.311950133333333,6.693107291666667,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,6,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,20.0,4.0,1,0.0,0.0,0.0,581.0995833333333,0.0,0.0,100.0,0.0,Max Display 811,09311515,ltd,active,"47910,56102",Wholesale & Retail,2014-11-14,11.2,Beds,total-exemption-full,3.0,3.0,3.0,0.0,36.0,159.0,10.0,False,0.0,3.0,False,Unknown,False,301.0,Unknown,0.0892857142857142,1,one_time,False,False,True,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Hall & Johnson,835.0,835.0,0,1,2640.344,2640.344,2640.344,0.0,2640.344,2640.344,43.25,84.75996629996197,0.0,170.0,1.0,6000.0,6000.0,6000.0,6000.0,0.0,4.9180347304778556,4.311950133333333,6.693107291666667,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7.0,10.0,1,0.0,0.0,0.0,2640.344,0.0,0.0,100.0,0.0,Pro Display,16027284,ltd,active,"55900,68100,68209,68310",Accommodation & Food,2024-10-18,1.3,Newport,Unknown,4.0,4.0,3.0,1.0,2.0,52.0,0.0,False,0.0,3.0,False,Unknown,False,301.0,Unknown,0.7692307692307692,3,one_time,False,False,True,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
GlobalDesi,430.0,430.0,0,1,3135.7833333333333,3135.7833333333333,3135.7833333333333,0.0,3135.7833333333333,3135.7833333333333,43.25,84.75996629996197,0.0,170.0,1.0,500.0,500.0,500.0,500.0,0.0,4.9180347304778556,4.311950133333333,6.693107291666667,20.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.0,6,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24.0,11.0,1,0.0,0.0,0.0,3135.7833333333333,0.0,0.0,100.0,0.0,Precision Group,13390812,ltd,active,99999,International Organisations,2021-05-12,4.7,Cambridge,dormant,1.0,1.0,1.0,0.0,11.0,23.0,4.0,False,0.0,1.0,True,abc.co.uk,False,200.0,co.uk,0.2127659574468085,3,one_time,False,False,False,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Atlas Industries,715.0,1001.0,286,6,62252.46086996336,10375.410144993892,8837.416000000001,6095.676841993503,21661.69547252747,4444.717857142858,57.2,74.55668984068431,0.0,183.0,7.6625874125874125,4950.0,2000.0,16250.0,200.0,6385.922016435841,6.415829166666667,6.415829166666667,6.415829166666667,14.0,15.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.166666666666667,8,100.0,33.33333333333333,100.0,83.33333333333334,83.33333333333334,33.33333333333333,66.66666666666666,50.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,21.0,5.0,5,-44633.83686994551,-143.3962167798613,0.0,62252.46086996336,0.0,0.0,100.0,0.0,Sheffield Systems 150,10672798,private-limited-guarant-nsc,active,82990,Administrative Services,2017-03-15,8.9,London,total-exemption-full,2.0,1.0,1.0,0.0,26.0,282.0,6.0,False,0.0,3.0,True,abcboxco.com,True,200.0,com,0.6741573033707865,5,regular,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jones & Thomas,652.0,2198.0,1546,5,7670.732828282828,1534.1465656565656,1472.6944444444443,424.5941246568216,2226.938888888889,1078.9722222222222,386.5,773.0,0.0,1546.0,1.18127425614489,900.0,500.0,2000.0,500.0,651.9202405202649,4.9180347304778556,4.311950133333333,6.693107291666667,22.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.2,6,100.0,20.0,100.0,0.0,0.0,20.0,80.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20.4,1.0,2,-1151.8112373738345,-30.03132199121786,0.0,7670.732828282828,0.0,0.0,100.0,0.0,Prime Industries,05391477,ltd,active,"43290,43390",Construction,2005-03-14,20.9,London,total-exemption-full,14.0,5.0,4.0,1.0,101.0,13.0,23.0,True,2.0,7.0,True,ablecanopies.co.uk,True,301.0,co.uk,0.2392344497607655,4,regular,False,False,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Express Productions,2571.0,2571.0,0,1,184.798,184.798,184.798,0.0,184.798,184.798,43.25,84.75996629996197,0.0,170.0,1.0,500.0,350.0,625.0,175.0,0.0,4.9180347304778556,4.311950133333333,6.693107291666667,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,1.0,1,0.0,0.0,0.0,184.798,0.0,100.0,0.0,0.0,Southampton Labels,09215238,ltd,active,71121,Professional Services,2014-09-12,11.4,London,micro-entity,1.0,1.0,1.0,0.0,32.0,63.0,12.0,False,0.0,2.0,True,absolutecontrol.com,False,405.0,com,0.087719298245614,1,one_time,False,False,True,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Beta Industries,2298.0,2298.0,0,2,853.5416666666667,426.77083333333337,426.77083333333337,268.0677162817261,616.3233333333334,237.21833333333336,0.0,84.75996629996197,0.0,0.0,2.0,500.0,500.0,500.0,500.0,0.0,4.9180347304778556,4.311950133333333,6.693107291666667,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,17.5,10.0,1,0.0,0.0,0.0,853.5416666666667,0.0,0.0,100.0,0.0,ZenithGrou,01611876,private-limited-guarant-nsc,active,"94120,94910",Other Services,1982-02-05,44.0,Hampshire,total-exemption-full,71.0,9.0,8.0,1.0,233.0,4.0,20.0,False,0.0,0.0,True,acg.co.uk,True,200.0,co.uk,0.0454545454545454,2,occasional,False,False,True,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Dynamic Signs,1996.0,1996.0,0,1,165.38205,165.38205,165.38205,0.0,165.38205,165.38205,43.25,84.75996629996197,0.0,170.0,1.0,300.0,300.0,300.0,300.0,0.0,4.9180347304778556,4.311950133333333,6.693107291666667,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.0,6,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24.0,8.0,1,0.0,0.0,0.0,165.38205,0.0,0.0,100.0,0.0,Phoenix Partners,08875770,ltd,active,82990,Administrative Services,2014-02-04,12.0,London,total-exemption-full,1.0,1.0,1.0,0.0,29.0,350.0,12.0,False,0.0,1.0,True,acknowledgedesigns.co.uk,True,301.0,co.uk,0.0833333333333333,1,one_time,False,False,True,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
