company,estimates,revenue,avg_order,median_order,first_date,last_date,avg_quantity,tenure_days,revenue_pct,cumulative_pct,days_since_last,segment
DeltaPart 453,433,1356931.532168241,3133.791067363143,1153.0644444444445,2019-01-09 00:00:00+00:00,2022-11-01 00:00:00+00:00,1962.7006960556844,1392,7.292723732939678,7.292723732939678,815,dormant
Sigma Technologies 335,142,1146105.7802627971,8071.1674666394165,3839.7739555555554,2022-05-13 00:00:00+00:00,2024-09-11 00:00:00+00:00,6064.077464788732,852,6.159657009979146,13.452380742918823,135,champion
Walker & Smith,182,531057.7793801156,2917.8998867039318,1086.8696825396826,2017-11-02 00:00:00+00:00,2024-09-15 00:00:00+00:00,1581.2967032967033,2509,2.85412902525684,16.306509768175662,131,champion
York Group 921,78,528560.4966012319,6776.416623092716,2249.858888888889,2018-01-22 00:00:00+00:00,2024-09-23 00:00:00+00:00,8185.9358974358975,2436,2.8407075718100874,19.14721733998575,123,champion
Alpha Marketing,180,527084.3822326065,2928.246567958925,1198.5057142857142,2018-01-04 00:00:00+00:00,2024-09-25 00:00:00+00:00,1211.3977272727273,2456,2.832774309126298,21.979991649112048,121,champion
Bradford Manufacturing 862,63,508661.6263766808,8073.994069471124,5455.700000000001,2020-08-27 00:00:00+00:00,2024-06-11 00:00:00+00:00,16840.634920634922,1384,2.7337626304441898,24.713754279556237,227,loyal
York Marketing 375,131,489724.339944506,3738.353740034397,1971.4102750000002,2022-07-11 00:00:00+00:00,2025-01-24 00:00:00+00:00,3410.4885496183206,928,2.6319856469137677,27.345739926470007,0,champion
Central Industries 560,131,450351.0219066063,3437.794060355773,1901.3333333333333,2018-01-05 00:00:00+00:00,2024-10-07 00:00:00+00:00,5903.763358778626,2467,2.4203767896556903,29.766116716125698,109,champion
Eastern Packaging 358,38,433487.67605684703,11407.570422548606,3429.6015749999997,2020-11-26 00:00:00+00:00,2023-01-05 00:00:00+00:00,9413.947368421053,770,2.329746039628974,32.09586275575467,750,dormant
QuantumGrap,36,347785.995254099,9660.722090391639,3721.209443650794,2023-07-13 00:00:00+00:00,2024-10-01 00:00:00+00:00,15800.0,446,1.869148974319175,33.96501173007385,115,champion
Quantum Display 957,12,339553.5795020504,28296.131625170867,15913.8205,2020-02-03 00:00:00+00:00,2024-09-05 00:00:00+00:00,40380.0,1676,1.8249044915939052,35.78991622166775,141,champion
Chester Holdings,180,323995.2085689414,1799.9733809385632,835.2359333333334,2020-01-21 00:00:00+00:00,2022-10-21 00:00:00+00:00,926.3166666666667,1004,1.741287228482287,37.53120345015004,826,dormant
Vertex Enterprises,119,300361.15129640675,2524.0432882050986,1655.04,2018-04-30 00:00:00+00:00,2023-12-06 00:00:00+00:00,367.87394957983196,2046,1.6142678127703827,39.145471262920424,415,at_risk
Mega Manufacturing 420,107,258633.99179649117,2417.140110247581,1295.4953333333333,2022-07-05 00:00:00+00:00,2024-08-02 00:00:00+00:00,266.2429906542056,759,1.3900084163460509,40.53547967926647,175,champion
Northern Media,140,244511.5312084545,1746.5109372032464,978.9568888888889,2017-11-23 00:00:00+00:00,2019-09-17 00:00:00+00:00,682.5588235294117,663,1.3141083424983229,41.849588021764795,1956,dormant
Pinnacle Services 179,46,228866.16043884336,4975.351313887899,2574.114,2021-03-16 00:00:00+00:00,2023-05-17 00:00:00+00:00,2403.6739130434785,792,1.2300235054838364,43.07961152724863,618,at_risk
Atlantic Communications 576,36,213220.15738344262,5922.782149540073,3934.8376666666663,2021-01-03 00:00:00+00:00,2024-06-03 00:00:00+00:00,4027.3142857142857,1247,1.145935270298201,44.22554679754683,235,loyal
York Systems 581,26,208599.6611813946,8023.0638915921,2391.76262962963,2021-12-06 00:00:00+00:00,2024-05-22 00:00:00+00:00,2151.730769230769,898,1.1211027702701484,45.34664956781698,247,loyal
Martin & Mitchell,91,208103.18444877258,2286.8481807557428,709.8466666666667,2018-12-11 00:00:00+00:00,2024-04-10 00:00:00+00:00,2869.285714285714,1947,1.1184344944102314,46.46508406222721,289,loyal
FJ 715,37,184550.6819340837,4987.856268488748,2866.0616190476194,2022-04-27 00:00:00+00:00,2023-06-07 00:00:00+00:00,1350.3783783783783,406,0.9918533884464434,47.45693745067366,597,at_risk
VertexServ 220,7,184218.69546296296,26316.956494708993,19822.32037037037,2023-08-04 00:00:00+00:00,2023-08-10 00:00:00+00:00,26714.285714285714,6,0.990069152794488,48.44700660346815,533,at_risk
Quantum Manufacturing,60,169735.08281426053,2828.918046904342,1483.1852395833334,2018-06-14 00:00:00+00:00,2024-08-15 00:00:00+00:00,1412.9833333333333,2254,0.9122280950860573,49.359234698554204,162,champion
Norwich Marketing,57,163598.49494536244,2870.1490341291656,1269.5800000000002,2018-04-13 00:00:00+00:00,2024-03-06 00:00:00+00:00,1167.1052631578948,2154,0.8792474774720844,50.23848217602629,324,loyal
Manchester Display 913,71,153515.10761525584,2162.184614299378,1062.7485714285713,2023-01-20 00:00:00+00:00,2024-10-08 00:00:00+00:00,875.8732394366198,627,0.8250550909386317,51.06353726696492,108,champion
Atlantic Associates,25,140929.1874053347,5637.1674962133875,4248.226190476191,2021-04-21 00:00:00+00:00,2022-01-31 00:00:00+00:00,3582.4,285,0.7574130346964035,51.82095030166133,1089,dormant
Thompson & Allen,23,136662.95990640123,5941.867822017445,4082.2479777777785,2022-12-06 00:00:00+00:00,2024-02-26 00:00:00+00:00,6711.739130434783,447,0.7344845244554502,52.55543482611678,333,loyal
Quantum Print,6,134743.35084100306,22457.22514016718,22347.7823015873,2023-02-08 00:00:00+00:00,2023-04-17 00:00:00+00:00,3333.3333333333335,68,0.7241677337719689,53.27960255988875,648,at_risk
NexusPart 579,84,130799.61411868657,1557.1382633176972,656.8084608888889,2022-02-08 00:00:00+00:00,2024-09-16 00:00:00+00:00,1319.8915662650602,951,0.7029724253061491,53.9825749851949,130,champion
Urban Enterprises,22,125502.1971612519,5704.64532551145,2310.6885498323013,2021-04-14 00:00:00+00:00,2024-07-05 00:00:00+00:00,2672.818181818182,1178,0.6745018669523095,54.65707685214721,203,loyal
Brown & Morgan,54,107342.79083363095,1987.8294598820546,962.5436666666667,2018-09-28 00:00:00+00:00,2023-06-12 00:00:00+00:00,1042.3333333333333,1718,0.5769055399733617,55.23398239212057,592,at_risk
Green & Thompson,5,101889.62425925928,20377.924851851854,5693.221759259259,2023-08-11 00:00:00+00:00,2024-09-11 00:00:00+00:00,20300.0,397,0.5475979173307899,55.781580309451364,135,loyal
Superior Display,51,99142.39353857143,1943.9685007563025,1379.5208333333335,2018-01-18 00:00:00+00:00,2019-01-14 00:00:00+00:00,671.2765957446809,361,0.5328331379726098,56.31441344742397,2202,dormant
Birmingham Manufacturing,91,98048.11462144139,1077.4518090268284,922.9611111111112,2018-06-29 00:00:00+00:00,2024-09-09 00:00:00+00:00,2028.0549450549452,2264,0.5269520204362975,56.84136546786027,137,champion
Lewis & Allen,100,96847.77715889545,968.4777715889545,232.72865416666667,2017-10-27 00:00:00+00:00,2024-07-05 00:00:00+00:00,273.18,2443,0.5205008994378358,57.361866367298106,203,loyal
Lewis & Morgan 359,20,96609.47253333333,4830.473626666667,3265.662,2019-04-23 00:00:00+00:00,2021-08-05 00:00:00+00:00,57542.5,835,0.5192201496304162,57.88108651692852,1268,dormant
Brighton Signs 567,59,96559.9740834162,1636.6097302273931,905.2666666666667,2019-05-20 00:00:00+00:00,2020-01-22 00:00:00+00:00,543.1694915254237,247,0.518954124033769,58.40004064096229,1829,dormant
Apex Services,47,96485.01114474206,2052.8725775477037,988.5036666666666,2018-07-03 00:00:00+00:00,2022-07-14 00:00:00+00:00,1454.468085106383,1472,0.5185512415087485,58.918591882471034,925,dormant
Flex Creative 540,3,91915.0,30638.333333333332,29960.0,2021-08-05 00:00:00+00:00,2021-08-05 00:00:00+00:00,70000.0,0,0.49399006952256536,59.4125819519936,1268,dormant
Vertex Print,3,91776.3442111111,30592.114737037035,23113.366477777778,2024-06-25 00:00:00+00:00,2024-06-25 00:00:00+00:00,6666.666666666667,0,0.4932448746926363,59.90582682668624,213,active
Wood & Allen 094,7,87703.26023809524,12529.03717687075,14514.038095238098,2018-01-26 00:00:00+00:00,2018-02-07 00:00:00+00:00,7150.0,12,0.4713543994165513,60.37718122610279,2543,dormant
