company,ch_company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,region,accounts_type
Titan Systems,Bristol Media,16806627,ltd,active,47910,Wholesale & Retail,2025-10-23,0.3,Ilford,
Hall & White,Southern Design 076,SC532443,ltd,dissolved,14190,Manufacturing,2016-04-13,9.8,Ayr,
Stellar Graphics,Pinnacle Services,01511940,ltd,active,18129,Manufacturing,1980-08-11,45.5,Surrey,total-exemption-full
Hall & Johnson,Pro Display,16027284,ltd,active,"55900,68100,68209,68310",Accommodation & Food,2024-10-18,1.3,Newport,
GlobalDesi,Precision Group,13390812,ltd,active,99999,International Organisations,2021-05-12,4.7,Cambridge,dormant
Jones & Thomas,Prime Industries,05391477,ltd,active,"43290,43390",Construction,2005-03-14,20.9,London,total-exemption-full
Express Productions,Southampton Labels,09215238,ltd,active,71121,Professional Services,2014-09-12,11.4,London,micro-entity
Beta Industries,ZenithGrou,01611876,private-limited-guarant-nsc,active,"94120,94910",Other Services,1982-02-05,44.0,Hampshire,total-exemption-full
Dynamic Signs,Phoenix Partners,08875770,ltd,active,82990,Administrative Services,2014-02-04,12.0,London,total-exemption-full
Manchester Signs,PrecisionDesi,09113327,ltd,active,99999,International Organisations,2014-07-02,11.6,West Sussex,small
Dynamic Print,EM,02320991,ltd,liquidation,18129,Manufacturing,1988-11-23,37.2,Cardiff,total-exemption-full
Sigma Signs,Mega Technologies,13075831,ltd,active,46499,Wholesale & Retail,2020-12-10,5.1,Hereford,total-exemption-full
RMEF,Gamma Communications,NI602411,ltd,dissolved,,,2010-03-08,15.9,County Down,null
EYCE,Bath Group,05376058,ltd,dissolved,18129,Manufacturing,2005-02-25,20.9,Cheshire,total-exemption-full
Bradford Partners,Alpha Industries,00579219,ltd,active,46190,Wholesale & Retail,1957-02-28,68.9,Gloucestershire,total-exemption-full
Delta Media,Agile Productions,06516296,ltd,active,74100,Professional Services,2008-02-27,17.9,Surrey,micro-entity
MetroAsso,,,,,,,,,,
Dynamic Systems,Max Design,08158090,ltd,dissolved,43390,Construction,2012-07-26,13.5,Essex,total-exemption-small
King & Johnson,Western Works,11482600,ltd,active,47990,Wholesale & Retail,2018-07-25,7.5,West Sussex,micro-entity
Metro Graphics,VanguardInte,10988994,ltd,dissolved,56302,Accommodation & Food,2017-09-29,8.3,London,null
Zenith Manufacturing,Sterling Solutions,03910040,ltd,dissolved,32990,Manufacturing,2000-01-20,26.0,Hereford,dormant
AtlanticEnte,Hall & Smith,03886746,ltd,active,58142,Information & Communication,1999-12-01,26.2,Hampshire,total-exemption-full
SummitSolu,Walker & Lee,00255727,ltd,dissolved,7499,Professional Services,1931-04-15,94.8,North Yorkshire,dormant
Matrix Group,Max Services,SC386898,ltd,active,82990,Administrative Services,2010-10-12,15.3,Edinburgh,total-exemption-full
WesternPrin,Leicester Graphics,08309689,ltd,dissolved,80200,Administrative Services,2012-11-27,13.2,Birmingham,total-exemption-small
Walker & White,Green & Brown,03385816,ltd,active,46120,Wholesale & Retail,1997-06-12,28.6,Hertfordshire,small
Express Services,Alpha Labels,00731878,ltd,dissolved,22290,Manufacturing,1962-08-07,63.5,Leeds,total-exemption-full
Vector Communications,Lewis & Lewis,08292261,ltd,dissolved,18140,Manufacturing,2012-11-13,13.2,Essex,total-exemption-full
Jackson & Baker,Leicester Signs,OC301827,llp,active,,,2002-03-27,23.9,Birmingham,total-exemption-full
Atlantic Industries,Leicester Signs,OC301827,llp,active,,,2002-03-27,23.9,Birmingham,total-exemption-full
Atlantic International,TEOK,13791518,ltd,active,"46190,46900,49320,62012",Wholesale & Retail,2021-12-09,4.2,Nottingham,micro-entity
Sigma Productions,Walker & Hughes,03340832,ltd,active,"42210,42990,43120",Construction,1997-03-26,28.9,Cumbria,total-exemption-full
Bath Services,Mega Creative,15950867,ltd,active,96020,Other Services,2024-09-11,1.4,Leicester,
Roberts & Green,Harris & Walker,06019480,ltd,active,74209,Professional Services,2006-12-05,19.2,London,micro-entity
Delta Group,Eastern Graphics,16099632,ltd,active,"62020,63990,73110,73120",Information & Communication,2024-11-25,1.2,Southampton,
Thomas & Lee,Royal Enterprises,SC396575,ltd,active,74909,Professional Services,2011-03-29,14.9,Edinburgh,total-exemption-full
Summit Graphics,Royal Enterprises,SC396575,ltd,active,74909,Professional Services,2011-03-29,14.9,Edinburgh,total-exemption-full
AtlasSign,Chester Productions,06721118,ltd,dissolved,43210,Construction,2008-10-10,17.3,Essex,total-exemption-small
Mega Packaging,NC,14055490,ltd,active,47990,Wholesale & Retail,2022-04-20,3.8,Southampton,micro-entity
NexusSolu,MegaMark,14124479,ltd,active,81300,Administrative Services,2022-05-23,3.7,Wednesbury,micro-entity
Oxford Group,LU,06736803,ltd,liquidation,82990,Administrative Services,2008-10-29,17.3,Manchester,total-exemption-full
Lewis & Allen,Oxford Signs,02649503,ltd,active,74990,Professional Services,1991-09-27,34.4,Middlesex,dormant
CoastalWork,PremierHold,03933601,ltd,dissolved,7487,Professional Services,2000-02-25,25.9,Pembrokeshire,total-exemption-small
Dynamic Media,Nexus Packaging,09475811,ltd,administration,72190,Professional Services,2015-03-06,10.9,London,audit-exemption-subsidiary
Clarke & Evans,Manchester Packaging,00550068,ltd,active,96030,Other Services,1955-06-01,70.7,Alton,micro-entity
Glasgow Graphics,Atlantic Packaging,06390590,ltd,dissolved,4521,Wholesale & Retail,2007-10-04,18.3,London,dormant
YAWO,Cardiff Associates,16838701,ltd,active,47710,Wholesale & Retail,2025-11-07,0.2,London,
AtlanticComm,Cardiff Associates,16838701,ltd,active,47710,Wholesale & Retail,2025-11-07,0.2,London,
Continental Display,Western International,SC841533,ltd,active,47990,Wholesale & Retail,2025-03-17,0.9,Lanarkshire Gb,
Thompson & Lewis,Wilson & Baker,16630469,ltd,active,"68100,68209",Real Estate,2025-08-05,0.5,Somerset,
National Creative,AKOA,01054247,ltd,active,96090,Other Services,1972-05-12,53.7,Northamptonshire,total-exemption-full
Leeds Partners,Vanguard Signs,02554669,ltd,active,70229,Professional Services,1990-11-02,35.3,Essex,total-exemption-full
Atlantic Partners,Delta Packaging,02490943,ltd,active,"27900,32990,74909",Manufacturing,1990-04-09,35.8,Cambs,small
RoyalPrin,Jones & Wright,07486358,ltd,active,43210,Construction,2011-01-10,15.1,Wirksworth,dormant
CVZC,Rapid Enterprises,13359648,ltd,dissolved,59200,Information & Communication,2021-04-27,4.8,Treorchy,null
Southern Productions,BR,02756053,ltd,active,18129,Manufacturing,1992-10-15,33.3,Thame,total-exemption-full
Thompson & Thompson,BR,02756053,ltd,active,18129,Manufacturing,1992-10-15,33.3,Thame,total-exemption-full
Brown & Clarke,Thomas & Hughes,03754207,ltd,dissolved,46690,Wholesale & Retail,1999-04-19,26.8,Rochester  Kent,total-exemption-small
SigmaProd,Mega Signs,10131575,ltd,active,99999,International Organisations,2016-04-19,9.8,Aylesbury,dormant
CentralComm,Hall & Harris,02110674,ltd,liquidation,"18129,96090",Manufacturing,1987-03-13,38.9,Shropshire,
MatrixDisp,Metro Holdings,SC732411,ltd,dissolved,47190,Wholesale & Retail,2022-05-13,3.7,Hamilton,dormant
NationalSyst,Phoenix Technologies,05739055,ltd,active,20420,Manufacturing,2006-03-10,19.9,Buckinghamshire,total-exemption-full
Mitchell & Hall,NationalLabe,08176024,ltd,active,74909,Professional Services,2012-08-10,13.5,Oxfordshire,total-exemption-full
SwiftPart,Quantum Media,04938609,ltd,dissolved,18121,Manufacturing,2003-10-21,22.3,Derby,micro-entity
Global Group,Bradford Solutions,01577077,ltd,active,"18129,18130",Manufacturing,1981-07-30,44.5,Oxfordshire,total-exemption-full
ExpressEnte,Vanguard International,06979623,ltd,liquidation,43991,Construction,2009-08-04,16.5,Norfolk,micro-entity
Walker & Smith,Bradford Solutions,01577077,ltd,active,"18129,18130",Manufacturing,1981-07-30,44.5,Oxfordshire,total-exemption-full
Newcastle Media,Atlantic Display,05686279,ltd,active,70100,Professional Services,2006-01-24,20.0,Barnsley,full
Nottingham Systems,Wright & White,15871395,ltd,active,56102,Accommodation & Food,2024-08-02,1.5,London,micro-entity
Brighton Display,Pacific Systems,03884266,ltd,liquidation,18129,Manufacturing,1999-11-26,26.2,Norfolk,total-exemption-full
Stellar Group,Titan Industries,12489692,ltd,active,59111,Information & Communication,2020-02-28,5.9,London,dormant
Norwich Marketing,Birmingham Services,06039742,ltd,active,74990,Professional Services,2007-01-02,19.1,Buckinghamshire,group
