company,recency_days,first_order_days_ago,tenure_days,frequency,monetary_total,monetary_mean,monetary_median,monetary_std,monetary_max,monetary_min,avg_days_between_orders,std_days_between_orders,min_days_between_orders,max_days_between_orders,orders_per_year,avg_quantity,median_quantity,max_quantity,min_quantity,std_quantity,avg_unit_price,median_unit_price,max_unit_price,avg_margin,median_margin,ptype_binder_pct,ptype_box_pct,ptype_slip_case_pct,ptype_folder_pct,ptype_presentation_pack_pct,ptype_menu_cover_pct,ptype_ring_binder_pct,ptype_lever_arch_pct,ptype_portfolio_pct,product_type_diversity,has_product_type_pct,avg_num_operations,max_num_operations,op_cutting_pct,op_creasing_pct,op_assembly_pct,op_wrapping_pct,op_liner_gluing_pct,op_laminating_pct,op_foil_blocking_pct,op_screen_printing_pct,op_drilling_pct,op_embossing_pct,op_debossing_pct,op_uv_varnishing_pct,op_die_cutting_pct,op_hand_finishing_pct,op_packing_pct,op_collating_pct,unique_operations_used,avg_cost_items,peak_month,months_active,revenue_trend_slope,revenue_trend_pct,recent_12m_revenue,historical_revenue,recent_share_pct,era_2017_box_pct,era_2020_pob_master_pct,era_2024_quotation_pct
Titan Systems,732.0,732.0,0,1,488.9377777777778,488.9377777777778,488.9377777777778,0.0,488.9377777777778,488.9377777777778,,,,,1.0,100.0,100.0,100.0,100.0,0.0,4.889377777777778,4.889377777777778,4.889377777777778,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,8.0,8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,37.0,1.0,1,0.0,0.0,0.0,488.9377777777778,0.0,0.0,100.0,0.0
Hall & White,332.0,332.0,0,2,4206.5602777777785,2103.2801388888893,2103.2801388888893,511.17279542061397,2464.733888888889,1741.8263888888891,0.0,,0.0,0.0,2.0,150.0,150.0,200.0,100.0,70.71067811865476,16.358063333333334,16.358063333333334,19.16009027777778,10.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,7.0,7,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,23.0,2.0,1,0.0,0.0,4206.5602777777785,0.0,100.0,0.0,100.0,0.0
Stellar Graphics,122.0,1359.0,1237,50,92947.49058609425,1858.949811721885,1123.7261609195402,2048.564069786317,8863.439632088435,171.9325,25.244897959183675,36.37909805795361,0.0,147.0,14.763540824575585,1277.96,350.0,8500.0,5.0,2218.3829646747613,10.381128723353036,4.052838452380952,58.79186133333333,21.229591836734695,20.0,25.0,53.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,56.00000000000001,6.1,9,100.0,48.0,100.0,38.0,42.0,56.00000000000001,50.0,92.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,22.86,2.0,11,5065.70565155425,21.80029011912721,27230.398447629235,65717.09213846501,29.296539665486286,0.0,100.0,0.0
Hall & Johnson,835.0,835.0,0,1,2640.344,2640.344,2640.344,0.0,2640.344,2640.344,,,,,1.0,6000.0,6000.0,6000.0,6000.0,0.0,,,,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,7.0,10.0,1,0.0,0.0,0.0,2640.344,0.0,0.0,100.0,0.0
GlobalDesi,430.0,1001.0,571,7,65388.244203296694,9341.177743328099,8809.312,6200.955847792153,21661.69547252747,3135.7833333333333,95.16666666666667,114.43673652576199,0.0,285.0,4.477670753064799,4314.285714285715,1000.0,16250.0,200.0,6067.310928637324,6.415829166666667,6.415829166666667,6.415829166666667,15.0,15.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.142857142857143,8,100.0,28.57142857142857,100.0,85.71428571428571,85.71428571428571,42.857142857142854,57.14285714285714,57.14285714285714,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,21.428571428571427,5.0,6,-41498.05353661343,-126.92817812202766,0.0,65388.244203296694,0.0,0.0,100.0,0.0
Jones & Thomas,652.0,2198.0,1546,5,7670.732828282828,1534.1465656565656,1472.6944444444443,424.5941246568216,2226.938888888889,1078.9722222222222,386.5,773.0,0.0,1546.0,1.1812742561448901,900.0,500.0,2000.0,500.0,651.9202405202649,,,,22.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,5.2,6,100.0,20.0,100.0,0.0,0.0,20.0,80.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20.4,1.0,2,-1151.8112373738345,-30.03132199121786,0.0,7670.732828282828,0.0,0.0,100.0,0.0
Express Productions,2571.0,2571.0,0,1,184.798,184.798,184.798,0.0,184.798,184.798,,,,,1.0,,,,,,,,,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,20.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,20.0,1.0,1,0.0,0.0,0.0,184.798,0.0,100.0,0.0,0.0
Beta Industries,2298.0,2298.0,0,2,853.5416666666667,426.77083333333337,426.77083333333337,268.0677162817261,616.3233333333334,237.21833333333336,0.0,,0.0,0.0,2.0,500.0,500.0,500.0,500.0,0.0,,,,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,5,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,17.5,10.0,1,0.0,0.0,0.0,853.5416666666667,0.0,0.0,100.0,0.0
Dynamic Signs,1996.0,1996.0,0,1,165.38205,165.38205,165.38205,0.0,165.38205,165.38205,,,,,1.0,300.0,300.0,300.0,300.0,0.0,,,,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,100.0,6.0,6,100.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,24.0,8.0,1,0.0,0.0,0.0,165.38205,0.0,0.0,100.0,0.0
Manchester Signs,499.0,499.0,0,1,451.80900900900906,451.80900900900906,451.80900900900906,0.0,451.80900900900906,451.80900900900906,,,,,1.0,2000.0,2000.0,2000.0,2000.0,0.0,,,,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,6,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.0,9.0,1,0.0,0.0,0.0,451.80900900900906,0.0,0.0,100.0,0.0
