company_name,sic_codes,industry_sector,company_age_years,region,packaging_need,packaging_reason,packaging_multiplier,prospect_score,priority_tier,industry_score,age_score,size_score,geo_score,web_score
Summit Holdings 377,1210,Agriculture,17.2,Bradford,HIGH,Products need packaging for distribution,1.0,95.0,Hot,100.0,100.0,100.0,50.0,100.0
Western Display 876,46180,Wholesale & Retail,6.7,Sheffield,HIGH,Shipping and distribution packaging,1.0,93.87,Hot,100.0,98.5,100.0,41.67,100.0
Mega Productions,1410,Agriculture,34.0,Fife,HIGH,Products need packaging for distribution,1.0,92.75,Hot,100.0,95.0,95.0,50.0,100.0
Hall & Allen,1500,Agriculture,4.9,London,HIGH,Products need packaging for distribution,1.0,89.01,Hot,100.0,89.5,98.5,46.74,78.74
Liverpool Productions 077,22220,Manufacturing,6.5,Buckinghamshire,HIGH,Products need packaging for distribution,1.0,88.58,Hot,67.33,97.5,98.0,93.75,100.0
Horizon Group 950,22290,Manufacturing,7.1,East of England,HIGH,Products need packaging for distribution,1.0,88.33,Hot,77.78,100.0,100.0,50.0,100.0
Premier Packaging 457,46760,Wholesale & Retail,14.0,Surrey,HIGH,Shipping and distribution packaging,1.0,87.14,Hot,66.67,100.0,100.0,71.43,100.0
Thomas & Mitchell 072,17230,Manufacturing,19.5,Lancashire,HIGH,Products need packaging for distribution,1.0,87.08,Hot,77.78,100.0,100.0,37.5,100.0
Urban Media 529,47620,Wholesale & Retail,13.8,Cheshire,HIGH,Shipping and distribution packaging,1.0,87.05,Hot,75.0,100.0,100.0,45.45,100.0
Express Technologies 402,22290,Manufacturing,8.9,Leicester,HIGH,Products need packaging for distribution,1.0,86.25,Hot,77.78,100.0,95.0,41.67,100.0
Elite Media 987,46180,Wholesale & Retail,8.4,Blackpool,HIGH,Shipping and distribution packaging,1.0,86.0,Hot,100.0,100.0,100.0,50.0,40.0
ProSolu 388,1410,Agriculture,13.5,Reading,HIGH,Products need packaging for distribution,1.0,86.0,Hot,100.0,100.0,100.0,50.0,40.0
Beta Media 636,22290,Manufacturing,9.4,Cambridge,HIGH,Products need packaging for distribution,1.0,85.42,Hot,77.78,100.0,100.0,20.83,100.0
Oxford Labels 392,18129,Manufacturing,7.4,Motherwell,HIGH,Products need packaging for distribution,1.0,85.2,Hot,67.33,100.0,100.0,50.0,100.0
Baker & Thomas,18129,Manufacturing,5.6,Middlesex,HIGH,Products need packaging for distribution,1.0,85.05,Hot,67.33,93.0,100.0,62.5,100.0
