company,ads_core_subcluster
Titan Systems,2
Hall & White,2
Stellar Graphics,9
Hall & Johnson,2
GlobalDesi,9
Jones & Thomas,0
Express Productions,6
Beta Industries,4
Dynamic Signs,4
Manchester Signs,4
Dynamic Print,2
Sigma Signs,2
RMEF,0
EYCE,2
Bradford Partners,9
Delta Media,2
MetroAsso,4
Dynamic Systems,4
Metro Graphics,0
Zenith Manufacturing,9
AtlanticEnte,6
SummitSolu,4
Matrix Group,0
WesternPrin,4
Walker & White,9
Express Services,9
Vector Communications,2
Jackson & Baker,2
Atlantic Industries,4
Atlantic International,4
Sigma Productions,2
Bath Services,6
Roberts & Green,4
Delta Group,2
Thomas & Lee,2
Summit Graphics,2
AtlasSign,6
Mega Packaging,4
NexusSolu,2
Oxford Group,9
Lewis & Allen,0
CoastalWork,2
Dynamic Media,4
Clarke & Evans,4
Glasgow Graphics,0
YAWO,4
Continental Display,9
Thompson & Lewis,9
National Creative,9
Atlantic Partners,4
RoyalPrin,2
CVZC,9
Southern Productions,2
Thompson & Thompson,3
Brown & Clarke,2
SigmaProd,4
MatrixDisp,2
NationalSyst,2
Mitchell & Hall,4
SwiftPart,4
Global Group,2
ExpressEnte,2
Walker & Smith,0
Newcastle Media,2
Nottingham Systems,2
Brighton Display,2
Stellar Group,2
Norwich Marketing,0
Metro Solutions,3
Prime Graphics,2
Morgan & Edwards,4
Nova Partners,0
CBM,4
RapidEnte,9
Swift Labels,4
QG,4
Quantum Solutions,4
Newcastle Labels,4
Belfast Systems,2
Southampton Signs,9
Harris & Johnson,6
Nexus International,4
VOTE,0
Edwards & Taylor,4
Glasgow Industries,4
Belfast Media,4
Edwards & Martin,2
Leeds Services,9
Flex Enterprises,2
Nottingham Design,9
Rapid Marketing,4
Omega Labels,2
Apex Associates,0
Bradford Communications,3
ZG,4
ZDZ,4
White & Baker,2
Leicester Industries,2
Oxford Graphics,2
AlphaDesi,2
IB,9
Davies & Davies,4
Bath Print,2
Davies & Taylor,9
Mega Associates 353,9
Express International,0
PJ,9
Lewis & Morgan 359,9
Allen & Martin,9
Cambridge Manufacturing,4
Gamma Labels,0
Matrix Display,2
JUAN,4
Bath Technologies,4
Edwards & Smith,2
QQ,9
Prime Associates,2
National Manufacturing,0
Vanguard Group,0
Sigma Group,4
Bristol Solutions,0
Birmingham Technologies,9
Swift Design,4
Sigma International,4
Belfast Holdings,6
Thompson & Harris,2
Belfast Marketing,2
Nottingham Labels,2
Pinnacle International,9
Plymouth Technologies,9
Meridian Labels,2
Birmingham Manufacturing,0
Evans & Thompson,2
Johnson & Hughes 446,0
Edwards & Green,9
DeltaPart 453,8
Precision International 456,9
Cambridge Packaging 459,9
Edinburgh Marketing,3
Elite Services,4
Delta Holdings,9
Omega Holdings,4
QZIZ,2
Northern Media,9
Green & Thompson,9
GlobalProd,2
Bradford International,6
Chester Holdings,9
Edinburgh Associates,4
Max Enterprises,2
WesternMedi,4
Taylor & Roberts,4
Vanguard Industries 506,6
Urban Creative,9
Mega Works,2
Jones & White,9
Liverpool Services,0
Sterling Partners,1
VertexGrou,4
QUDH 530,4
Allen & Taylor,4
Southern Design,9
Premier Enterprises,0
Apex Enterprises 542,0
TJB,4
HorizonGrap,2
Omega International,0
Lee & Wilson 552,9
KVMA,6
NovaHold,4
Edinburgh Technologies,4
RJU,4
Glasgow Enterprises,4
Max Associates,4
Brighton Signs 567,9
QUB,4
Plymouth International,4
Jackson & Hughes,2
Eastern Holdings,2
Edwards & Green 581,2
Stellar Systems,9
York Associates,9
Edwards & Evans,2
ZZRS 587,9
Coventry Associates,9
AlphaSyst,4
EJFZ,2
Vertex Media 593,4
Cambridge Media,2
Sheffield Works,4
Coventry Solutions,9
VOV,2
StellarHold,2
DynamicAsso,9
Urban Enterprises,9
Nottingham Services,6
Roberts & Hall,0
Stellar Technologies,4
Cardiff Communications,9
UrbanCrea 655,2
QuantumGrap,9
Edwards & Baker 660,2
Bradford Solutions 663,4
Oxford Industries,9
Nottingham Partners,6
Edwards & Walker,7
Thompson & Allen,9
Royal Services,4
HCTG,2
UET,2
Express Enterprises,9
Clarke & Davies,2
Quantum Print,9
WesternAsso,9
Mitchell & Allen,2
Martin & Mitchell,0
Gamma Enterprises,9
Mega Communications,2
Superior Signs,4
Stellar Print,9
Central Systems,0
CZW,5
DeltaPrin,4
QuantumSign,2
Belfast Enterprises,3
Baker & Jones,4
BetaProd,3
Walker & Thomas,4
Central Holdings,2
Atlantic Labels,2
RoyalGrou,4
Urban International,0
Vector Works,4
Apex Services,9
Metro Marketing,2
BetaDisp,3
EasternServ,6
Atlantic Graphics,3
Nottingham Display,9
TLTJ 778,2
AWYR,4
Smith & Evans,4
Jackson & Mitchell,4
Bristol Communications,9
Leicester Communications,9
NS,2
Pacific Media,5
Edinburgh International,4
Harris & Thompson 814,4
Vertex Print,9
Glasgow Design,2
ApexAsso,4
Premier Creative 831,4
Southampton Media,4
HP,1
Mega Holdings,2
Oxford Solutions 843,0
YFU,2
Wilson & Martin,2
Continental Packaging,4
Oxford Marketing,9
KAZS,2
Pro Enterprises,9
Pro International,2
Morgan & Walker,9
Summit Display,4
Beta Creative,0
Prime Systems,0
Vector Solutions 870,9
Max Labels,9
Bristol Systems,9
Lee & Taylor,2
Titan Signs,4
York Packaging 881,2
CDDH,4
Glasgow Enterprises 886,3
Flex Communications,2
EHEV 889,2
DVZ,4
White & Clarke 892,2
Summit Works,3
Northern Solutions,4
PremierComm,4
Norwich Graphics,6
Martin & Morgan,9
VanguardTech,4
Cardiff Systems,0
Lee & Evans,2
Liverpool Industries 911,9
HGW,4
Elite Technologies,4
Metro Signs,2
National Holdings,2
Continental Services 924,2
Bradford Associates,3
Express Creative,9
DeltaGrap,9
Flex Signs,2
WH,3
CoastalMedi,4
Flex Associates 934,3
Manchester Systems,3
Swift Group,6
Belfast Print,4
Omega Works 942,2
ProInte,6
Pacific Associates,4
Quantum Display 957,0
Taylor & Green,9
Oxford International,4
Swift Media,4
Brighton Packaging,2
Elite Services 968,4
NK,0
King & Martin,2
CLJM,2
Zenith Productions 982,2
Smith & Jones,0
ApexGrou,2
Brighton Technologies,2
Atlas Productions 990,9
NorthernWork 993,0
Bristol Manufacturing,4
Premier Works 997,4
QuantumCrea,4
ApexIndu 001,2
Leeds Creative 003,9
Leeds Labels,0
SwiftDesi,0
Norwich Services,3
Jones & Evans 017,9
Quantum Manufacturing,0
Matrix Solutions,2
Martin & Taylor,2
Atlas Services,6
VCW,4
EO,6
Vanguard Solutions,7
Agile Enterprises,2
Oxford Display,4
Titan Holdings,4
Lee & Hall,4
Express Marketing 043,4
Rapid Group,7
Phoenix Solutions,4
Mitchell & Wood,3
Superior Display,9
Pinnacle Productions,4
SRP 063,9
Swift Solutions,4
Mega Productions 070,0
Thomas & Wright,2
MaxHold,4
Vanguard Group 076,9
Edinburgh Manufacturing,4
Leeds Associates 083,4
Nova Packaging,2
Apex Labels,0
Urban Manufacturing,4
ExpressGrap,4
Mega International,4
RoyalProd 108,5
Alpha Graphics,4
Harris & Wilson,4
Sterling Services 113,2
Bath Labels 114,2
Beta Media,4
Precision Packaging,7
Swift Productions 121,6
Birmingham Associates,9
Southampton Graphics 125,0
Jones & Lewis 127,9
Gamma Signs,2
Harris & Martin,4
EliteSolu,4
Alpha Marketing,0
SwiftComm,2
Urban Graphics,4
York Packaging,9
Southampton International 165,4
Royal Creative,2
Lewis & Lee,9
ProMedi,9
Swift Associates,2
York Media,4
KOX,2
Delta Works,9
Agile Labels,4
TNA,2
Central Associates 191,4
Glasgow International,0
TP 197,4
Jones & Thompson 198,9
Birmingham Communications,0
Ultra Holdings 202,6
Brown & Roberts,2
Superior Services,2
Atlantic Associates,9
Nexus Signs,0
GBV,9
Brown & Baker,2
Central Signs 220,4
Pacific Packaging,9
Beta Graphics 224,4
Pro Industries,2
Bath Industries 232,4
Martin & Thompson,4
Sterling Marketing,4
Coastal Graphics,9
Global Productions 243,9
Vertex Enterprises,8
VVV,0
Global Design,4
OJC 253,4
GammaTech,2
Brown & Morgan,9
Cambridge Marketing,2
Plymouth Creative,2
Walker & Green 267,2
UDP,4
Evans & Evans 272,0
Roberts & Jackson,9
Ultra Creative,2
Morgan & Wright,4
KTVH,9
GammaComm,4
Nottingham Marketing,0
KUR 289,4
Martin & Wright,0
Morgan & Lewis,2
NJLO,4
DI,4
Oxford Packaging,4
Nexus Services,4
Delta Enterprises,9
CI,4
Superior Works,2
Vector Marketing,9
Leeds Associates,2
TitanIndu,2
NQFQ,9
GammaWork,6
Manchester Technologies,0
Chester Technologies,4
Morgan & Lewis 326,4
Ultra Associates 329,9
KRM 331,9
Sigma Technologies 335,9
Precision Media 339,4
Gamma Technologies 340,4
Phoenix Group 342,4
Johnson & Evans 343,0
DeltaComm 345,0
Atlas Partners 347,4
Beta Productions 348,4
Pro Group 350,5
MIR 352,9
Bradford Labels 354,9
AlphaTech 356,2
Ultra Technologies 358,9
Norwich Associates 360,2
Birmingham Solutions 361,9
Matrix Creative 363,9
